area_type,availability,location,total_sqft,bath,balcony,price,BHK,price_per_sqft,sqft_per_bhk
Super built-up  Area,19-Dec,Sarjapur  Road,1254.0,3.0,2.0,38.0,3,3030.303,418.0
Super built-up  Area,Ready To Move,Ganga Nagar,600.0,1.0,0.0,38.0,1,6333.333,600.0
Plot  Area,Ready To Move,Yelahanka,660.0,1.0,0.0,48.0,1,7272.727,660.0
Super built-up  Area,19-Sep,Kanakpura Road,1330.74,2.0,2.0,91.79,2,6897.666,665.37
Plot  Area,Ready To Move,HSR Layout,600.0,9.0,2.0,200.0,8,33333.333,75.0
Super built-up  Area,Ready To Move,Doddathoguru,970.0,2.0,0.0,33.0,2,3402.062,485.0
Super built-up  Area,20-Sep,Whitefield,1459.0,2.0,1.0,94.82,2,6498.972,729.5
Plot  Area,Ready To Move,KR Puram,800.0,1.0,1.0,130.0,2,16250.0,400.0
Built-up  Area,Ready To Move,Himagiri Meadows,869.0,2.0,1.0,36.0,2,4142.693,434.5
Super built-up  Area,Ready To Move,Adarsh Nagar,1270.0,2.0,1.0,50.0,2,3937.008,635.0
Super built-up  Area,18-Mar,Bhoganhalli,1670.0,3.0,1.0,99.0,3,5928.144,556.667
Built-up  Area,Ready To Move,Whitefield,2010.0,3.0,2.0,91.0,3,4527.363,670.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,1185.0,2.0,2.0,75.0,2,6329.114,592.5
Super built-up  Area,Ready To Move,Yelahanka,1600.0,2.0,3.0,75.0,3,4687.5,533.333
Super built-up  Area,Ready To Move,Begur Road,1200.0,2.0,2.0,44.0,2,3666.667,600.0
Built-up  Area,20-Feb,Devanahalli,3210.0,2.0,2.0,192.0,4,5981.308,802.5
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,1500.0,2.0,2.0,185.0,2,12333.333,750.0
Plot  Area,Ready To Move,Murugeshpalya,1407.0,4.0,1.0,150.0,6,10660.981,234.5
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,840.0,2.0,2.0,45.0,2,5357.143,420.0
Plot  Area,Ready To Move,Tharabanahalli,4395.0,3.0,2.0,240.0,3,5460.751,1465.0
Super built-up  Area,Ready To Move,Ganga Nagar,845.0,2.0,1.0,55.0,2,6508.876,422.5
Plot  Area,Ready To Move,Whitefield,5700.0,5.0,3.0,650.0,4,11403.509,1425.0
Built-up  Area,Ready To Move,Varthur,1160.0,2.0,2.0,44.0,2,3793.103,580.0
Built-up  Area,Ready To Move,Bommanahalli,3000.0,8.0,0.0,140.0,8,4666.667,375.0
Super built-up  Area,Ready To Move,Doddathoguru,1100.0,2.0,1.0,62.0,2,5636.364,550.0
Super built-up  Area,18-Apr,Gunjur,1140.0,2.0,3.0,43.0,2,3771.93,570.0
Super built-up  Area,Ready To Move,Marathahalli,1220.0,2.0,1.0,57.0,2,4672.131,610.0
Plot  Area,Ready To Move,Devarachikkanahalli,1350.0,7.0,0.0,85.0,8,6296.296,168.75
Super built-up  Area,Ready To Move,Kanakpura Road,1005.0,2.0,1.0,36.68,2,3649.751,502.5
Plot  Area,Ready To Move,Double Road,500.0,3.0,2.0,100.0,3,20000.0,166.667
Super built-up  Area,20-Aug,Begur Road,1358.0,2.0,1.0,80.58,2,5933.726,679.0
Super built-up  Area,Ready To Move,Hegde Nagar,1569.0,3.0,1.0,101.0,3,6437.221,523.0
Super built-up  Area,18-Apr,Haralur Road,1240.0,2.0,1.0,70.0,2,5645.161,620.0
Super built-up  Area,Ready To Move,Hennur Road,2089.0,3.0,2.0,140.0,3,6701.771,696.333
Super built-up  Area,Ready To Move,Kothannur,1206.0,2.0,1.0,48.23,2,3999.171,603.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1150.0,2.0,3.0,40.0,2,3478.261,575.0
Built-up  Area,Ready To Move,Cholanayakanahalli,2511.0,3.0,3.0,205.0,3,8164.078,837.0
Built-up  Area,Ready To Move,Kaval Byrasandra,460.0,1.0,0.0,22.0,2,4782.609,230.0
Built-up  Area,Ready To Move,ISRO Layout,4400.0,6.0,3.0,250.0,6,5681.818,733.333
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,1660.0,2.0,2.0,105.0,3,6325.301,553.333
Built-up  Area,18-Oct,Hennur Road,3203.5,2.0,2.0,224.5,4,7007.96,800.875
Super built-up  Area,19-Mar,Yelahanka,1326.0,2.0,2.0,78.0,2,5882.353,663.0
Super built-up  Area,Ready To Move,Garudachar Palya,1325.0,2.0,2.0,60.8,3,4588.679,441.667
Super built-up  Area,Ready To Move,EPIP Zone,1499.0,5.0,2.0,102.0,3,6804.536,499.667
Built-up  Area,Ready To Move,Hegde Nagar,3000.0,7.0,2.0,210.0,6,7000.0,500.0
Super built-up  Area,Ready To Move,Kanakpura Road,1665.0,3.0,2.0,88.0,3,5285.285,555.0
Super built-up  Area,17-Sep,Dasanapura,708.0,2.0,2.0,37.0,2,5225.989,354.0
Super built-up  Area,Ready To Move,Kasavanhalli,1060.0,2.0,2.0,58.06,2,5477.358,530.0
Plot  Area,Ready To Move,Rajaji Nagar,710.0,6.0,3.0,160.0,6,22535.211,118.333
Built-up  Area,Ready To Move,Sanjay nagar,1000.0,2.0,2.0,70.0,2,7000.0,500.0
Super built-up  Area,18-Dec,Electronic City,1000.0,2.0,1.0,28.88,2,2888.0,500.0
Super built-up  Area,Ready To Move, Mysore Highway,1450.0,2.0,2.0,70.0,3,4827.586,483.333
Plot  Area,Ready To Move,ISRO Layout,1200.0,4.0,2.0,155.0,4,12916.667,300.0
Super built-up  Area,17-Aug,Thanisandra,1296.0,2.0,3.0,80.0,2,6172.84,648.0
Super built-up  Area,Ready To Move,Domlur,1540.0,3.0,2.0,90.0,3,5844.156,513.333
Plot  Area,Ready To Move,Kengeri,2894.0,4.0,1.0,245.0,4,8465.791,723.5
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,1330.0,2.0,1.0,48.0,3,3609.023,443.333
Built-up  Area,Ready To Move,Devasthanagalu,1200.0,2.0,1.0,65.0,2,5416.667,600.0
Built-up  Area,Ready To Move,T Dasarahalli,1200.0,3.0,1.0,90.0,3,7500.0,400.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2502.0,3.0,3.0,138.0,3,5515.588,834.0
Built-up  Area,Ready To Move,Chandapura,650.0,1.0,1.0,17.0,2,2615.385,325.0
Plot  Area,Ready To Move,Kothanur,2400.0,2.0,1.0,150.0,3,6250.0,800.0
Super built-up  Area,Ready To Move,Green View Layout,1007.0,2.0,2.0,43.0,2,4270.109,503.5
Super built-up  Area,Ready To Move,Shantiniketan Layout,1200.0,2.0,2.0,50.0,2,4166.667,600.0
Super built-up  Area,Ready To Move,Peenya,966.0,2.0,2.0,49.9,2,5165.631,483.0
Built-up  Area,Ready To Move,Nagarbhavi,1630.0,2.0,1.0,98.0,3,6012.27,543.333
Built-up  Area,Ready To Move,Rajaji Nagar,1640.0,3.0,2.0,229.0,3,13963.415,546.667
Built-up  Area,Ready To Move,Jalahalli West,782.0,2.0,2.0,55.68,2,7120.205,391.0
Super built-up  Area,19-Apr,Devanahalli,1260.0,2.0,2.0,66.78,2,5300.0,630.0
Super built-up  Area,Ready To Move,Lakshmiamma Garden,1800.0,3.0,3.0,120.0,3,6666.667,600.0
Super built-up  Area,Ready To Move,Byatarayanapura,1413.0,2.0,2.0,75.0,3,5307.856,471.0
Super built-up  Area,Ready To Move,Whitefield,1116.0,2.0,1.0,51.91,2,4651.434,558.0
Super built-up  Area,Ready To Move,Electronic City,1530.0,2.0,1.0,45.9,3,3000.0,510.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,3700.0,4.0,1.0,225.0,4,6081.081,925.0
Built-up  Area,Ready To Move,Sarjapur  Road,2497.0,3.0,2.0,140.0,3,5606.728,832.333
Super built-up  Area,Ready To Move,Kengeri,1540.0,2.0,3.0,64.0,3,4155.844,513.333
Super built-up  Area,18-Dec,Thanisandra,1436.0,3.0,1.0,74.75,3,5205.432,478.667
Super built-up  Area,18-Jun,Malleshwaram,1100.0,2.0,2.0,75.0,2,6818.182,550.0
Plot  Area,Ready To Move,Hennur Road,276.0,3.0,3.0,23.0,2,8333.333,138.0
Super built-up  Area,Ready To Move,Thanisandra,1427.0,3.0,2.0,120.0,3,8409.25,475.667
Super built-up  Area,Ready To Move,Akshaya Nagar,2061.0,3.0,1.0,200.0,3,9704.027,687.0
Super built-up  Area,18-Mar,Hebbal,5611.5,4.0,0.0,477.0,4,8500.401,1402.875
Built-up  Area,Ready To Move,Shampura,2650.0,4.0,2.0,150.0,4,5660.377,662.5
Super built-up  Area,22-Dec,Devanahalli,1282.0,2.0,2.0,68.52,3,5344.774,427.333
Built-up  Area,Ready To Move,Kadugodi,1050.0,2.0,1.0,34.0,2,3238.095,525.0
Built-up  Area,Ready To Move,LB Shastri Nagar,1600.0,3.0,2.0,65.0,3,4062.5,533.333
Super built-up  Area,22-Jan,Vajarahalli,945.0,2.0,1.0,54.0,2,5714.286,472.5
Super built-up  Area,Ready To Move,Hormavu,1500.0,2.0,1.0,78.0,2,5200.0,750.0
Plot  Area,Ready To Move,Vishwapriya Layout,950.0,7.0,0.0,115.0,7,12105.263,135.714
Built-up  Area,Ready To Move,Peenya,1870.0,3.0,3.0,110.0,3,5882.353,623.333
Plot  Area,Ready To Move,Sarjapur,1600.0,3.0,1.0,75.0,3,4687.5,533.333
Super built-up  Area,Ready To Move,Electronic City,880.0,1.0,1.0,16.5,2,1875.0,440.0
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,1200.0,4.0,0.0,210.0,4,17500.0,300.0
Super built-up  Area,Ready To Move,Kudlu Gate,1535.0,3.0,2.0,83.0,3,5407.166,511.667
Built-up  Area,Ready To Move,Kanakpura Road,950.0,2.0,1.0,57.0,2,6000.0,475.0
Super built-up  Area,18-Aug,Devanahalli,1360.0,2.0,1.0,65.0,2,4779.412,680.0
Super built-up  Area,19-Mar,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2,5030.741,536.75
Super built-up  Area,18-May,Bommasandra Industrial Area,1280.0,3.0,1.0,50.4,3,3937.5,426.667
Super built-up  Area,19-Jan,Chandra Layout,1260.0,2.0,2.0,85.05,3,6750.0,420.0
Built-up  Area,Ready To Move,Hennur Road,5000.0,8.0,2.0,250.0,8,5000.0,625.0
Super built-up  Area,19-Dec,Yelahanka,3050.0,5.0,1.0,213.0,5,6983.607,610.0
Super built-up  Area,Ready To Move,Kasavanhalli,1563.05,3.0,1.0,105.0,3,6717.635,521.017
Super built-up  Area,Ready To Move,ISRO Layout,1000.0,2.0,1.0,60.0,2,6000.0,500.0
Super built-up  Area,17-Jul,Anandapura,1167.0,2.0,1.0,43.76,2,3749.786,583.5
Super built-up  Area,Ready To Move,Vishveshwarya Layout,4000.0,7.0,2.0,225.0,7,5625.0,571.429
Super built-up  Area,Ready To Move,Kothanur,1828.0,3.0,2.0,110.0,3,6017.505,609.333
Super built-up  Area,Ready To Move,Kengeri Satellite Town,890.0,2.0,1.0,35.0,2,3932.584,445.0
Super built-up  Area,Ready To Move,Basavanapura,1612.0,3.0,3.0,46.74,3,2899.504,537.333
Plot  Area,Ready To Move,Dinnur,1034.0,5.0,2.0,185.0,6,17891.683,172.333
Super built-up  Area,19-Apr,Mysore Road,1710.0,4.0,2.0,91.31,3,5339.766,570.0
Super built-up  Area,Ready To Move,Kannamangala,957.0,2.0,1.0,58.0,2,6060.606,478.5
Super built-up  Area,18-May, Devarachikkanahalli,1250.0,2.0,3.0,44.0,3,3520.0,416.667
Super built-up  Area,Ready To Move,Sanjeevini Nagar,2795.0,4.0,2.0,235.0,3,8407.871,931.667
Super built-up  Area,Ready To Move,Hulimavu,1125.0,2.0,2.0,50.0,2,4444.444,562.5
Super built-up  Area,18-Jul,Electronic City Phase II,1020.0,2.0,1.0,30.6,2,3000.0,510.0
Super built-up  Area,Ready To Move,Kalena Agrahara,1200.0,2.0,2.0,50.0,2,4166.667,600.0
Super built-up  Area,Ready To Move,Thanisandra,1735.0,3.0,3.0,135.0,3,7780.98,578.333
Super built-up  Area,Ready To Move,Thanisandra,2050.0,3.0,1.0,145.0,3,7073.171,683.333
Plot  Area,Ready To Move,Mahalakshmi Layout,3750.0,4.0,0.0,760.0,4,20266.667,937.5
Built-up  Area,Ready To Move,Yarandahalli,1350.0,2.0,3.0,48.0,3,3555.556,450.0
Super built-up  Area,18-May,Hosa Road,1063.0,2.0,1.0,32.0,2,3010.348,531.5
Super built-up  Area,Ready To Move,Keshava Nagar,1904.0,3.0,1.0,150.0,3,7878.151,634.667
Built-up  Area,Ready To Move,Whitefield,4200.0,4.0,2.0,420.0,4,10000.0,1050.0
Super built-up  Area,Ready To Move,RMV Extension,2000.0,3.0,1.0,175.0,3,8750.0,666.667
Super built-up  Area,18-Dec,Sarjapur,1242.5,2.0,0.0,43.49,2,3500.201,621.25
Super built-up  Area,Ready To Move,Tejaswini Nagar,1425.0,2.0,2.0,75.0,3,5263.158,475.0
Super built-up  Area,Ready To Move,Electronic City,1500.0,2.0,1.0,64.5,3,4300.0,500.0
Built-up  Area,Ready To Move,Electronic City,1060.0,2.0,1.0,60.0,2,5660.377,530.0
Built-up  Area,Ready To Move,Jai Bheema Nagar,1470.0,2.0,2.0,70.0,3,4761.905,490.0
Super built-up  Area,Ready To Move,Kothnur Narayanapura,1300.0,6.0,0.0,99.0,6,7615.385,216.667
Super built-up  Area,Ready To Move,Attibele,450.0,1.0,1.0,11.0,1,2444.444,450.0
Super built-up  Area,18-Apr,Electronic City,1152.0,2.0,1.0,64.5,2,5598.958,576.0
Super built-up  Area,Ready To Move,Electronic City,1350.0,2.0,1.0,56.0,3,4148.148,450.0
Super built-up  Area,Ready To Move,CV Raman Nagar,1550.0,3.0,3.0,65.0,3,4193.548,516.667
Plot  Area,Ready To Move,CHIKKATIRUPATHI,1500.0,3.0,2.0,100.0,3,6666.667,500.0
Plot  Area,Ready To Move,Kumaraswami Layout,600.0,3.0,2.0,85.0,5,14166.667,120.0
Plot  Area,Ready To Move,Nagavara,400.0,1.0,0.0,14.0,1,3500.0,400.0
Super built-up  Area,Ready To Move,Malleshwaram,705.0,1.0,2.0,67.0,1,9503.546,705.0
Built-up  Area,Ready To Move,Electronic City,770.0,1.0,1.0,36.0,2,4675.325,385.0
Super built-up  Area,Ready To Move,Hulimavu,1242.0,2.0,3.0,51.0,2,4106.28,621.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,1700.0,3.0,2.0,155.0,3,9117.647,566.667
Super built-up  Area,Ready To Move,Thanisandra,2144.0,3.0,2.0,145.0,3,6763.06,714.667
Super built-up  Area,21-Jun,Vijayanagar,1704.0,3.0,2.0,110.0,3,6455.399,568.0
Super built-up  Area,Ready To Move,Electronic City,1070.0,2.0,1.0,52.0,2,4859.813,535.0
Plot  Area,Ready To Move,8th block Koramangala,1846.0,3.0,2.0,300.0,3,16251.354,615.333
Super built-up  Area,Ready To Move,Jakkuru Layout,1340.0,2.0,2.0,55.7,2,4156.716,670.0
Built-up  Area,Ready To Move,Electronic City,1025.0,2.0,1.0,46.0,2,4487.805,512.5
Super built-up  Area,Ready To Move,KR Puram,1277.5,2.0,0.0,56.8,2,4446.184,638.75
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,52.0,2,4333.333,600.0
Built-up  Area,18-Dec,Kanakpura Road,2250.0,4.0,1.0,110.0,4,4888.889,562.5
Super built-up  Area,Ready To Move,Pattandur Agrahara,1550.0,2.0,3.0,80.0,3,5161.29,516.667
Plot  Area,Ready To Move,Bellandur,1200.0,5.0,2.0,325.0,4,27083.333,300.0
Plot  Area,Ready To Move,Ejipura,1800.0,7.0,1.0,250.0,7,13888.889,257.143
Super built-up  Area,Ready To Move,Marathahalli,1200.0,2.0,2.0,60.0,2,5000.0,600.0
Super built-up  Area,Ready To Move,Yelahanka,1327.0,2.0,2.0,98.0,2,7385.079,663.5
Super built-up  Area,Ready To Move,Kothanur,1186.0,2.0,2.0,58.0,2,4890.388,593.0
Built-up  Area,Ready To Move,MS Pallya,1783.0,3.0,1.0,115.0,3,6449.804,594.333
Super built-up  Area,Ready To Move,HSR Layout,1400.0,3.0,2.0,56.0,3,4000.0,466.667
Super built-up  Area,Ready To Move,Nagasandra,980.0,2.0,1.0,48.0,2,4897.959,490.0
Super built-up  Area,Ready To Move,EPIP Zone,1285.0,2.0,2.0,82.0,2,6381.323,642.5
Super built-up  Area,Ready To Move,Langford Town,912.0,2.0,1.0,70.0,3,7675.439,304.0
Built-up  Area,Ready To Move,Whitefield,1225.0,2.0,2.0,47.6,2,3885.714,612.5
Super built-up  Area,Ready To Move,Whitefield,1075.0,2.0,1.0,53.0,2,4930.233,537.5
Built-up  Area,Ready To Move,Kadugodi,1260.0,2.0,2.0,54.0,3,4285.714,420.0
Super built-up  Area,Ready To Move,Yelahanka,1282.0,2.0,2.0,48.7,3,3798.752,427.333
Super built-up  Area,Ready To Move,Kogilu,1909.0,3.0,2.0,88.0,3,4609.743,636.333
Super built-up  Area,Ready To Move,Panathur,1359.0,2.0,1.0,87.0,2,6401.766,679.5
Built-up  Area,Ready To Move,Nagondanahalli,1207.0,2.0,2.0,43.5,2,3603.977,603.5
Plot  Area,Ready To Move,Padmanabhanagar,1736.0,6.0,0.0,190.0,4,10944.7,434.0
Super built-up  Area,20-May,1st Block Jayanagar,2850.0,4.0,1.0,428.0,4,15017.544,712.5
Super built-up  Area,Ready To Move,Kammasandra,1595.0,3.0,2.0,65.0,3,4075.235,531.667
Built-up  Area,18-Jun,"Off Sarjapur Road, ",1798.0,3.0,2.0,89.0,3,4949.944,599.333
Super built-up  Area,Ready To Move,Electronics City Phase 1,1475.0,3.0,2.0,78.29,3,5307.797,491.667
Super built-up  Area,Ready To Move,Tala Cauvery Layout,1580.0,3.0,3.0,100.0,3,6329.114,526.667
Super built-up  Area,Ready To Move,Dasarahalli,1295.0,2.0,1.0,65.0,2,5019.305,647.5
Built-up  Area,Ready To Move,Magadi Road,3600.0,6.0,0.0,141.0,6,3916.667,600.0
Super built-up  Area,Ready To Move,Electronic City,589.0,1.0,1.0,27.0,1,4584.041,589.0
Super built-up  Area,Ready To Move,Ngef Layout,1415.0,3.0,3.0,78.0,3,5512.367,471.667
Super built-up  Area,18-Dec,Sarjapur  Road,1787.0,3.0,2.0,98.29,3,5500.28,595.667
Super built-up  Area,Ready To Move,Sarjapur  Road,1787.0,3.0,2.0,125.0,3,6994.964,595.667
Super built-up  Area,Ready To Move,Koramangala,1475.0,2.0,3.0,90.0,3,6101.695,491.667
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",2000.0,4.0,1.0,75.5,4,3775.0,500.0
Super built-up  Area,19-Mar,Sarjapur  Road,984.0,2.0,1.0,44.28,2,4500.0,492.0
Super built-up  Area,19-Dec,Devanahalli,1630.0,2.0,2.0,74.82,3,4590.184,543.333
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,2405.0,4.0,2.0,260.0,3,10810.811,801.667
Built-up  Area,Ready To Move,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2,6666.667,540.0
Plot  Area,Ready To Move,Shantiniketan Layout,1500.0,2.0,1.0,115.0,2,7666.667,750.0
Super built-up  Area,Ready To Move,Hebbal,1900.0,3.0,2.0,119.0,3,6263.158,633.333
Super built-up  Area,19-Aug,Dommasandra,805.0,2.0,1.0,22.14,2,2750.311,402.5
Super built-up  Area,Ready To Move,Budigere,1153.0,2.0,2.0,56.4,2,4891.587,576.5
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,1148.0,2.0,2.0,60.0,2,5226.481,574.0
Super built-up  Area,Ready To Move,Mylasandra,1110.0,2.0,2.0,55.0,2,4954.955,555.0
Built-up  Area,Ready To Move,Electronic City,1100.0,2.0,2.0,42.0,2,3818.182,550.0
Super built-up  Area,Ready To Move,Kalyan nagar,1290.0,2.0,2.0,110.0,2,8527.132,645.0
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,1500.0,2.0,1.0,65.0,3,4333.333,500.0
Super built-up  Area,18-Apr,Bank Of Baroda Colony,1080.0,2.0,2.0,39.0,2,3611.111,540.0
Super built-up  Area,21-Jun,Vijayanagar,1933.0,3.0,1.0,129.0,3,6673.564,644.333
Built-up  Area,Ready To Move,Ramamurthy Nagar,3500.0,5.0,2.0,150.0,5,4285.714,700.0
Built-up  Area,Ready To Move,Kullappa Colony,1060.0,2.0,2.0,60.0,2,5660.377,530.0
Super built-up  Area,18-Aug,Chandapura,645.0,1.0,1.0,16.45,1,2550.388,645.0
Plot  Area,Ready To Move,Mukkutam Nagar,2600.0,8.0,2.0,180.0,8,6923.077,325.0
Super built-up  Area,18-Sep,Chandapura,645.0,1.0,1.0,16.45,1,2550.388,645.0
Super built-up  Area,Ready To Move,Ashwath Nagar,1644.0,3.0,3.0,84.0,3,5109.489,548.0
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,1285.0,2.0,3.0,72.5,2,5642.023,642.5
Plot  Area,Ready To Move,Electronic City,1200.0,3.0,1.0,90.0,3,7500.0,400.0
Super built-up  Area,Ready To Move,Electronic City,910.0,2.0,1.0,40.0,2,4395.604,455.0
Super built-up  Area,Ready To Move,Kothanur,1577.0,3.0,1.0,70.0,3,4438.808,525.667
Plot  Area,17-May,Meenakunte,4050.0,3.0,2.0,280.0,3,6913.58,1350.0
Super built-up  Area,Ready To Move,OMBR Layout,2420.0,3.0,2.0,185.0,3,7644.628,806.667
Super built-up  Area,Ready To Move,Chandapura,800.0,1.0,1.0,20.0,2,2500.0,400.0
Built-up  Area,Ready To Move,Anand Nagar,1060.0,2.0,2.0,55.0,2,5188.679,530.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2,7322.835,635.0
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,900.0,2.0,2.0,22.5,2,2500.0,450.0
Built-up  Area,Ready To Move,Kundalahalli Colony,1280.0,2.0,1.0,69.0,2,5390.625,640.0
Plot  Area,Ready To Move,Horamavu Agara,1200.0,2.0,0.0,95.0,4,7916.667,300.0
Built-up  Area,Ready To Move,Sarjapur  Road,1025.0,2.0,2.0,36.0,2,3512.195,512.5
Super built-up  Area,17-Jun,Electronic City,1108.0,2.0,1.0,63.0,2,5685.921,554.0
Plot  Area,Ready To Move,MCECHS  layout,1200.0,5.0,2.0,170.0,5,14166.667,240.0
Super built-up  Area,Ready To Move,Coffee Board Layout,3045.0,3.0,2.0,170.0,3,5582.923,1015.0
Plot  Area,Ready To Move,Ambedkar Nagar,2900.0,3.0,2.0,300.0,4,10344.828,725.0
Super built-up  Area,Ready To Move,Vijayanagar,1500.0,3.0,2.0,75.5,3,5033.333,500.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1295.0,2.0,2.0,43.9,2,3389.961,647.5
Super built-up  Area,Ready To Move,Budigere,1162.0,2.0,1.0,59.9,2,5154.905,581.0
Super built-up  Area,Ready To Move,Sarjapur  Road,1035.0,2.0,2.0,49.2,2,4753.623,517.5
Built-up  Area,Ready To Move,Attibele,1600.0,4.0,0.0,52.8,4,3300.0,400.0
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,1464.0,3.0,2.0,46.0,3,3142.077,488.0
Super built-up  Area,18-Oct,Hennur Road,1866.0,2.0,2.0,61.58,3,3300.107,622.0
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,700.0,1.0,1.0,26.0,2,3714.286,350.0
